site_code,site_name,part_number,part_serial_number,part_domain_1,part_domain_2,part_domain_3
cw0946,prison_camp,86010148v01,i0m0562881-xx,telecom,bss,ret
cw0946,prison_camp,kdu127174/3,tu8xac8140,telecom,bss,du
cw0946,prison_camp,krc11865/2,d163618327,telecom,bss,ru
cw0946,prison_camp,krc11865/2,d163618302,telecom,bss,ru
cw0946,prison_camp,krc161297/2,cr9j250398,telecom,bss,ru
cw0946,prison_camp,krc161297/2,cr9j247303,telecom,bss,ru
cw0946,prison_camp,bml161174/1,br88045280,telecom,bss,psu
cw0946,prison_camp,kdu137569/1,d163703177,telecom,bss,du
cw0946,prison_camp,119/bfm901290,d163790450,telecom,bss,bts
cw0946,prison_camp,kdu137569/1,d163703165,telecom,bss,du
cw0946,prison_camp,bmg980336/7,c942115359,telecom,bss,pdu
cw0946,prison_camp,86010148v01,i0m0562978-b1,telecom,bss,ret
cw0946,prison_camp,bml161174/1,br88045582,telecom,bss,psu
cw0946,prison_camp,krc161297/2,cr9j250434,telecom,bss,ru
cw0946,prison_camp,86010148v01,i0m0562956-xx,telecom,bss,ret
cw0946,prison_camp,bml161174/1,br88045225,telecom,bss,psu
cw0946,prison_camp,bmg980336/4,x051850505,telecom,bss,pdu
cw0946,prison_camp,86010148v01,i0m0562949-r1,telecom,bss,ret
cw2024,rashanke_cw,krc11865/2,d163752579,telecom,bss,ru
cw2024,rashanke_cw,krc161296/1,d16q563353,telecom,bss,ru
cw2024,rashanke_cw,119/bfm901290,d163790407,telecom,bss,bts
cw2024,rashanke_cw,bml161174/1,bw93087198,telecom,bss,psu
cw2024,rashanke_cw,bml161174/1,br88045587,telecom,bss,psu
cw2024,rashanke_cw,bmg980336/4,x051835210,telecom,bss,pdu
cw2024,rashanke_cw,kdu127174/3,tu8xj07387,telecom,bss,du
cw2024,rashanke_cw,kdu137569/1,d163703200,telecom,bss,du
cw2024,rashanke_cw,kdu137569/1,d163678376,telecom,bss,du
cw2024,rashanke_cw,86010148v01,i0m0884303-xx,telecom,bss,ret
cw2024,rashanke_cw,86010148v01,i0m0884298-xx,telecom,bss,ret
cw2024,rashanke_cw,86010148v01,i0m0882808-xx,telecom,bss,ret
cw2024,rashanke_cw,86010148v01,i0m0882763-xx,telecom,bss,ret
cw2024,rashanke_cw,86010148v01,i0m0882758-xx,telecom,bss,ret
cw2024,rashanke_cw,bml161174/1,br88045586,telecom,bss,psu
cw2024,rashanke_cw,bmg980336/4,x051832940,telecom,bss,pdu
cw2024,rashanke_cw,krc161296/1,d16b616555,telecom,bss,ru
cw2024,rashanke_cw,krc161260/1,d16g839283,telecom,bss,ru
cw2024,rashanke_cw,krc161260/1,d16h032212,telecom,bss,ru
cw2024,rashanke_cw,krc161260/1,d16h032215,telecom,bss,ru
cw2024,rashanke_cw,tta-umg101h,ae192586129,telecom,bss,tma
cw2024,rashanke_cw,tta-umg101h,ae192686301,telecom,bss,tma
cw2024,rashanke_cw,tta-umg101h,ae192686354,telecom,bss,tma
cw2024,rashanke_cw,tta-glg120h,as195200147,telecom,bss,tma
cw2024,rashanke_cw,tta-glg120h,as195200325,telecom,bss,tma
cw2024,rashanke_cw,tta-glg120h,as195200344,telecom,bss,tma
cw2024,rashanke_cw,krc161296/1,d16e201099,telecom,bss,ru
cw2024,rashanke_cw,86010148v01,i0m0882820-xx,telecom,bss,ret
cw2035,khanke_camp,krc11873/2,d16d082732,telecom,bss,ru
cw2035,khanke_camp,kdu137569/1,d166004849,telecom,bss,du
cw2035,khanke_camp,krc161670/1,e553304397,telecom,bss,ru
cw2035,khanke_camp,krc11873/2,d16d082729,telecom,bss,ru
cw2035,khanke_camp,krc161670/1,e552217965,telecom,bss,ru
cw2035,khanke_camp,krc161670/1,e552217943,telecom,bss,ru
cw2525,doli_letan,kdu137569/1,d166074650,telecom,bss,du
cw2525,doli_letan,104/bfm901292,d166655260,telecom,bss,bts
cw2525,doli_letan,bmg980336/2,x051962952,telecom,bss,pdu
cw2525,doli_letan,bml161174/1,bw93240289,telecom,bss,psu
cw2525,doli_letan,bml161174/1,bw93240317,telecom,bss,psu
cw6279,robatke_oilcomp,bml161184/1,bw97391530,telecom,bss,psu
cw6279,robatke_oilcomp,bmg980336/7,c942092871,telecom,bss,pdu
cw6279,robatke_oilcomp,bmg980336/2,x053075755,telecom,bss,pdu
cw6279,robatke_oilcomp,kdu137569/1,tu8xau3200,telecom,bss,du
cw6452,zxo_sharia1_cw,krc161282/2,d16s928189,telecom,bss,ru
cw6452,zxo_sharia1_cw,86010148,cse3744672,telecom,bss,ret
cw6452,zxo_sharia1_cw,86010148v01,csh1193617-xx,telecom,bss,ret
cw6452,zxo_sharia1_cw,86010148v01,csh1194055-xx,telecom,bss,ret
cw6452,zxo_sharia1_cw,bml161184/1,bw99752085,telecom,bss,psu
cw6452,zxo_sharia1_cw,bml161184/1,bw99752219,telecom,bss,psu
cw6452,zxo_sharia1_cw,86010148v01,csh1193573-xx,telecom,bss,ret
cw6452,zxo_sharia1_cw,86010148v01,i0m0882352-xx,telecom,bss,ret
cw6452,zxo_sharia1_cw,86010148v01,i0m0882469-xx,telecom,bss,ret
cw6452,zxo_sharia1_cw,bmg980336/7,x052962170,telecom,bss,pdu
cw6452,zxo_sharia1_cw,kdu137569/1,d16s677270,telecom,bss,du
cw6452,zxo_sharia1_cw,kdu137848/11,td3b782598,telecom,bss,baseband
cw6452,zxo_sharia1_cw,bmg980336/2,x052980326,telecom,bss,pdu
cw6452,zxo_sharia1_cw,bmg980336/7,x053114847,telecom,bss,pdu
cw6452,zxo_sharia1_cw,302/bfm901292,d16s842361,telecom,bss,bts
cw6452,zxo_sharia1_cw,bml161184/1,bw99752747,telecom,bss,psu
cw6452,zxo_sharia1_cw,bml161184/1,bw99752788,telecom,bss,psu
cw6452,zxo_sharia1_cw,krc161262/2,d16s854858,telecom,bss,ru
cw6452,zxo_sharia1_cw,krc161262/2,d16s854904,telecom,bss,ru
cw6452,zxo_sharia1_cw,krc161262/2,d16s882133,telecom,bss,ru
cw6452,zxo_sharia1_cw,krc161297/2,cr9j171001,telecom,bss,ru
cw6452,zxo_sharia1_cw,krc161297/2,cr9j172063,telecom,bss,ru
cw6452,zxo_sharia1_cw,krc161297/2,cr9j172065,telecom,bss,ru
cw6452,zxo_sharia1_cw,krc161282/2,d16s928187,telecom,bss,ru
cw6455,talkhem_cow,kdu137569/1,d16s677295,telecom,bss,du
cw6455,talkhem_cow,krc161282/2,d16s928191,telecom,bss,ru
cw6455,talkhem_cow,bml161184/1,bw99752262,telecom,bss,psu
cw6455,talkhem_cow,krc161282/2,d16s924111,telecom,bss,ru
cw6455,talkhem_cow,krc161282/2,d16s928188,telecom,bss,ru
cw6455,talkhem_cow,kdu137569/1,d16s677327,telecom,bss,du
cw6455,talkhem_cow,bmg980336/7,x052962348,telecom,bss,pdu
cw6455,talkhem_cow,bml161184/1,bw99752237,telecom,bss,psu
cw6461,americanuniv_cw,bmg980336/2,x052979039,telecom,bss,pdu
cw6461,americanuniv_cw,86010148v01,i0m0882625-xx,telecom,bss,ret
cw6461,americanuniv_cw,kdu137848/11,e23b169851,telecom,bss,baseband
cw6461,americanuniv_cw,kdu137569/1,d16s677282,telecom,bss,du
cw6461,americanuniv_cw,krc161262/2,d16u194266,telecom,bss,ru
cw6461,americanuniv_cw,bml161184/1,bw99752235,telecom,bss,psu
cw6461,americanuniv_cw,86010148v01,csh2868757-xx,telecom,bss,ret
cw6461,americanuniv_cw,86010148v01,csh0974828-xx,telecom,bss,ret
cw6461,americanuniv_cw,86010148v01,csj2714559-xx,telecom,bss,ret
cw6461,americanuniv_cw,86010148,cse3748183,telecom,bss,ret
cw6461,americanuniv_cw,86010148,cse3748052,telecom,bss,ret
cw6461,americanuniv_cw,krc161282/2,d16s970716,telecom,bss,ru
cw6461,americanuniv_cw,krc161282/2,d16s924106,telecom,bss,ru
cw6461,americanuniv_cw,krc161262/2,d16s879950,telecom,bss,ru
cw6461,americanuniv_cw,krc161262/2,d16s879948,telecom,bss,ru
cw6461,americanuniv_cw,bml161184/1,bw99752712,telecom,bss,psu
cw6461,americanuniv_cw,bml161184/1,bw99752223,telecom,bss,psu
cw6461,americanuniv_cw,302/bfm901292,d16s843502,telecom,bss,bts
cw6461,americanuniv_cw,krc161622/1,tu8u004g48,telecom,bss,ru
cw6461,americanuniv_cw,krc161622/1,tu8u004g3w,telecom,bss,ru
cw6461,americanuniv_cw,krc161622/1,tu8u004g26,telecom,bss,ru
cw6461,americanuniv_cw,bmg980336/7,x053096191,telecom,bss,pdu
cw6461,americanuniv_cw,bmg980336/7,x053096128,telecom,bss,pdu
cw6461,americanuniv_cw,bmg980336/7,x052962141,telecom,bss,pdu
cw6475,dumiz1_cow,kdu137569/1,d16s677292,telecom,bss,du
cw6475,dumiz1_cow,krc161282/2,ca72828160,telecom,bss,ru
cw6475,dumiz1_cow,krc161282/2,ca72785200,telecom,bss,ru
cw6475,dumiz1_cow,krc161262/2,d16l173093,telecom,bss,ru
cw6483,chamirezan_cow,bmg980336/2,x052978935,telecom,bss,pdu
cw6483,chamirezan_cow,bml161184/1,bw99752224,telecom,bss,psu
cw6483,chamirezan_cow,kdu137569/1,d16s677294,telecom,bss,du
cw6483,chamirezan_cow,krc161262/2,d16u194207,telecom,bss,ru
cw6510,bersvicamp,kdu137569/1,d163703170,telecom,bss,du
cw6510,bersvicamp,kdu137569/1,tu8xm03650,telecom,bss,du
cw6510,bersvicamp,bmg980336/2,x052199321,telecom,bss,pdu
cw6510,bersvicamp,krc161280/1,d16g622490,telecom,bss,ru
cw6510,bersvicamp,krc161260/1,d16g853734,telecom,bss,ru
cw6510,bersvicamp,bml161184/1,bw97329339,telecom,bss,psu
cw6510,bersvicamp,krc161280/1,d16g622449,telecom,bss,ru
cw6514,shekhan_cow,kdu137569/1,tu8xl74444,telecom,bss,du
cw6514,shekhan_cow,krc161260/1,d16d982249,telecom,bss,ru
cw6514,shekhan_cow,krc161260/1,d16g853869,telecom,bss,ru
cw6515,botea_cow,krc161260/1,d16e671251,telecom,bss,ru
cw6515,botea_cow,kdu137569/1,d16q709328,telecom,bss,du
cw6515,botea_cow,krc161260/1,d16g888970,telecom,bss,ru
cw6520,khorke_cow,krc161280/1,d16n357042,telecom,bss,ru
cw6520,khorke_cow,krc161280/1,cr9c872973,telecom,bss,ru
cw6520,khorke_cow,kdu137569/1,tu8xl18601,telecom,bss,du
cw6520,khorke_cow,krc161260/1,d16g839290,telecom,bss,ru
cw6520,khorke_cow,kdu137569/1,tu8xk96370,telecom,bss,du
cw6520,khorke_cow,krc161260/1,d16g839289,telecom,bss,ru
cw6541,shekhan,bml161184/1,bw97391759,telecom,bss,psu
cw6541,shekhan,kdu137569/1,d16g378871,telecom,bss,du
cw6541,shekhan,bmg980336/2,x053075924,telecom,bss,pdu
cw6552,feshkabor,krc161280/1,cb4r630840,telecom,bss,ru
cw6552,feshkabor,kdu137569/1,tu8xk63954,telecom,bss,du
cw6552,feshkabor,krc161280/1,d16q533376,telecom,bss,ru
du0001,amedi1,krc161282/2,d16v613708,telecom,bss,ru
du0001,amedi1,krc161282/2,d16v613711,telecom,bss,ru
du0001,amedi1,krc161282/2,d16v613713,telecom,bss,ru
du0001,amedi1,kdu137569/1,d16v566826,telecom,bss,du
du0001,amedi1,bmg980336/7,x053140857,telecom,bss,pdu
du0001,amedi1,bmg980336/2,x053159854,telecom,bss,pdu
du0001,amedi1,kdu137569/1,d16v566823,telecom,bss,du
du0001,amedi1,bml161184/1,br85045590,telecom,bss,psu
du0002,duh_batifa2,krc161282/2,d16v613879,telecom,bss,ru
du0002,duh_batifa2,kdu137569/1,tu8xk71134,telecom,bss,du
du0002,duh_batifa2,kdu137569/1,tu8xt42062,telecom,bss,du
du0002,duh_batifa2,krc161282/2,d16v613926,telecom,bss,ru
du0003,bagera1,kdu137569/1,tu8xt71600,telecom,bss,du
du0003,bagera1,bml161184/1,bw97390597,telecom,bss,psu
du0003,bagera1,bml161184/1,bw97389969,telecom,bss,psu
du0003,bagera1,bmg980336/2,x053061684,telecom,bss,pdu
du0004,bamarne,bml161184/1,bw97391854,telecom,bss,psu
du0004,bamarne,kdu137569/1,tu8xau3168,telecom,bss,du
du0004,bamarne,bmg980336/7,c942092748,telecom,bss,pdu
du0004,bamarne,bmg980336/2,x053075916,telecom,bss,pdu
du0005,besfk1,krc161280/1,d16m622535,telecom,bss,ru
du0005,besfk1,krc161280/1,cr9d955185,telecom,bss,ru
du0005,besfk1,bml161184/1,bw97391409,telecom,bss,psu
du0005,besfk1,kdu137569/1,tu8xau3154,telecom,bss,du
du0005,besfk1,bmg980336/2,x053075931,telecom,bss,pdu
du0005,besfk1,kdu137569/1,tu8xk68793,telecom,bss,du
du0005,besfk1,bmg980336/7,x053114818,telecom,bss,pdu
du0006,brwar1,bml231202/1,bh52816641,telecom,bss,psu
du0006,brwar1,boe60214/1,tu83203721,telecom,bss,du
du0006,brwar1,bml231202/1,bh51677568,telecom,bss,psu
du0006,brwar1,seb1121095/1,ab20117214,telecom,bss,bts
du0007,chmnk1,kdu137569/1,tu8xau3165,telecom,bss,du
du0007,chmnk1,bmg980336/2,x053075902,telecom,bss,pdu
du0007,chmnk1,bml161184/1,bw97391526,telecom,bss,psu
du0007,chmnk1,bml161184/1,bw97391483,telecom,bss,psu
du0008,baber1,krc161280/1,d16n337864,telecom,bss,ru
du0008,baber1,krc161260/1,d16e953681,telecom,bss,ru
du0008,baber1,kdu137569/1,d16v580711,telecom,bss,du
du0008,baber1,kdu137569/1,tu8xr02687,telecom,bss,du
du0008,baber1,krc161260/1,d16g245470,telecom,bss,ru
du0009,duh_batifa1,kdu137569/1,tu8xk68813,telecom,bss,du
du0009,duh_batifa1,krc161262/2,cd3t727052,telecom,bss,ru
du0010,deralok2,bmg980336/7,x052962239,telecom,bss,pdu
du0010,deralok2,krc161280/1,d16e537109,telecom,bss,ru
du0010,deralok2,kdu137569/1,d16s677269,telecom,bss,du
du0010,deralok2,bml161184/1,bw99752794,telecom,bss,psu
du0010,deralok2,kdu137569/1,d166074527,telecom,bss,du
du0010,deralok2,bml161184/1,bw99752549,telecom,bss,psu
du0011,dgara1,krc161260/1,d16h002421,telecom,bss,ru
du0011,dgara1,kdu137569/1,d16v571016,telecom,bss,du
du0011,dgara1,krc161260/1,d16g580210,telecom,bss,ru
du0012,koretgavana,bmg980336/7,c942092631,telecom,bss,pdu
du0012,koretgavana,bml161184/1,bw97389758,telecom,bss,psu
du0012,koretgavana,bml161184/1,bw97390703,telecom,bss,psu
du0012,koretgavana,kdu137569/1,tu8xk69609,telecom,bss,du
du0012,koretgavana,krc161282/2,cn30924627,telecom,bss,ru
du0012,koretgavana,kdu137569/1,tu8xt40425,telecom,bss,du
du0012,koretgavana,krc161282/2,ca72804357,telecom,bss,ru
du0013,deralok1,seb1121095/1,tu84592639,telecom,bss,bts
du0013,deralok1,bml231202/1,bh51367147,telecom,bss,psu
du0013,deralok1,boe90103/1,tu8d442276,telecom,bss,du
du0013,deralok1,boe60214/1,tu83837715,telecom,bss,du
du0013,deralok1,bml231202/1,tl93247303,telecom,bss,psu
du0014,duh_kani_masee,kdu137569/1,tu8xau1832,telecom,bss,du
du0015,mangeshk1,kdu137569/1,tu8xam5265,telecom,bss,du
du0016,qdish1,krc11862/2,d166495565,telecom,bss,ru
du0016,qdish1,krc161280/1,d16n335946,telecom,bss,ru
du0016,qdish1,bml161184/1,bw99752216,telecom,bss,psu
du0016,qdish1,kdu137569/1,d16h104078,telecom,bss,du
du0016,qdish1,bmg980336/2,c941887387,telecom,bss,pdu
du0016,qdish1,kdu137569/1,d16g893335,telecom,bss,du
du0016,qdish1,bmg980336/2,x052413131,telecom,bss,pdu
du0017,sargali1,kdu137569/1,tu8xk69682,telecom,bss,du
du0018,sarseng2,kdu137569/1,tu8xt41654,telecom,bss,du
du0018,sarseng2,krc161282/2,d16u092388,telecom,bss,ru
du0019,sazer1,krc161260/1,d16h002357,telecom,bss,ru
du0019,sazer1,kdu137569/1,tu8xk71087,telecom,bss,du
du0019,sazer1,krc161260/1,d168254782,telecom,bss,ru
du0020,serye1,bmg980336/7,c942092792,telecom,bss,pdu
du0020,serye1,kdu137848/11,e96a0067k4,telecom,bss,baseband
du0020,serye1,krc161280/1,d16n357053,telecom,bss,ru
du0020,serye1,kdu137569/1,tu8xau3479,telecom,bss,du
du0020,serye1,krc161262/2,d16s846917,telecom,bss,ru
du0020,serye1,krc161262/2,d16s854853,telecom,bss,ru
du0020,serye1,krc161262/2,d16s854907,telecom,bss,ru
du0020,serye1,86010148v01,csj2714802-xx,telecom,bss,ret
du0020,serye1,86010148v01,csj2714817-xx,telecom,bss,ret
du0020,serye1,86010148v01,e4j3885730-xx,telecom,bss,ret
du0020,serye1,86010148v01,csj2714805-xx,telecom,bss,ret
du0020,serye1,86010148v01,csj2717685-xx,telecom,bss,ret
du0020,serye1,86010148v01,csj2822866-xx,telecom,bss,ret
du0020,serye1,krc161280/1,d16m622522,telecom,bss,ru
du0020,serye1,bml161184/1,bw97385051,telecom,bss,psu
du0020,serye1,krc161297/2,cr9j171035,telecom,bss,ru
du0020,serye1,bml161184/1,bw97391553,telecom,bss,psu
du0020,serye1,bml161184/1,bw97391622,telecom,bss,psu
du0020,serye1,bml161184/1,bw97391714,telecom,bss,psu
du0020,serye1,krc161297/2,cr9j170941,telecom,bss,ru
du0020,serye1,bfm901292,d16u401170,telecom,bss,bts
du0020,serye1,bmg980336/2,x053075734,telecom,bss,pdu
du0020,serye1,bmg980336/2,x053075809,telecom,bss,pdu
du0020,serye1,kdu137569/1,tu8xd19958,telecom,bss,du
du0020,serye1,krc161297/2,cr9j170940,telecom,bss,ru
du0021,sheladez2,kdu137848/11,e96a005nhw,telecom,bss,baseband
du0021,sheladez2,kdu137569/1,tu8xaw1582,telecom,bss,du
du0021,sheladez2,86010148v01,csj2714470-xx,telecom,bss,ret
du0021,sheladez2,86010148v01,csj2714685-xx,telecom,bss,ret
du0021,sheladez2,86010148v01,csj2714682-xx,telecom,bss,ret
du0021,sheladez2,86010148v01,csj2714698-xx,telecom,bss,ret
du0021,sheladez2,86010148v01,csj2714810-xx,telecom,bss,ret
du0021,sheladez2,86010148v01,csj2717715-xx,telecom,bss,ret
du0021,sheladez2,krc161280/1,d16q631283,telecom,bss,ru
du0021,sheladez2,krc161280/1,d16g622480,telecom,bss,ru
du0021,sheladez2,krc161262/2,d16s882103,telecom,bss,ru
du0021,sheladez2,krc161262/2,d16s882106,telecom,bss,ru
du0021,sheladez2,bml161184/1,bw97391733,telecom,bss,psu
du0021,sheladez2,bml161184/1,bw97391903,telecom,bss,psu
du0021,sheladez2,bml161184/1,bw97391948,telecom,bss,psu
du0021,sheladez2,krc161297/2,cr9j170967,telecom,bss,ru
du0021,sheladez2,krc161297/2,cr9j170969,telecom,bss,ru
du0021,sheladez2,krc161297/2,cr9j170970,telecom,bss,ru
du0021,sheladez2,302/bfm901292,d16u407100,telecom,bss,bts
du0021,sheladez2,bmg980336/2,x053075935,telecom,bss,pdu
du0021,sheladez2,bmg980336/7,c942092636,telecom,bss,pdu
du0021,sheladez2,bmg980336/2,x053075796,telecom,bss,pdu
du0021,sheladez2,kdu137569/1,tu8xau3179,telecom,bss,du
du0021,sheladez2,krc161262/2,d16s882104,telecom,bss,ru
du0022,zxo_grchapar1,krc161260/1,d16g097041,telecom,bss,ru
du0022,zxo_grchapar1,krc161260/1,d16g150442,telecom,bss,ru
du0022,zxo_grchapar1,kdu137569/1,d168006014,telecom,bss,du
du0022,zxo_grchapar1,bmg980336/4,c941146534,telecom,bss,pdu
du0022,zxo_grchapar1,kdu137569/1,tu8xk71783,telecom,bss,du
du0022,zxo_grchapar1,bml161174/1,bw93260850,telecom,bss,psu
du0023,sheladez1,kdu137848/11,e96a005nhk,telecom,bss,baseband
du0023,sheladez1,kdu137569/1,d16s713242,telecom,bss,du
du0023,sheladez1,86010148v01,csj1051765-xx,telecom,bss,ret
du0023,sheladez1,86010148v01,csj1051768-xx,telecom,bss,ret
du0023,sheladez1,86010148v01,csi4592981-xx,telecom,bss,ret
du0023,sheladez1,86010148v01,csj1051260-xx,telecom,bss,ret
du0023,sheladez1,86010148v01,csj1051754-xx,telecom,bss,ret
du0023,sheladez1,krc161280/1,d167401357,telecom,bss,ru
du0023,sheladez1,krc161262/2,d16n529665,telecom,bss,ru
du0023,sheladez1,krc161262/2,d16n529669,telecom,bss,ru
du0023,sheladez1,krc161262/2,d16n529944,telecom,bss,ru
du0023,sheladez1,302/bfm901292,d16s857645,telecom,bss,bts
du0023,sheladez1,bml161184/1,br84490845,telecom,bss,psu
du0023,sheladez1,bml161184/1,br84490926,telecom,bss,psu
du0023,sheladez1,bml161184/1,br84490938,telecom,bss,psu
du0023,sheladez1,bml161184/1,br84490970,telecom,bss,psu
du0023,sheladez1,bmg980336/7,x053096172,telecom,bss,pdu
du0023,sheladez1,bmg980336/7,c942059629,telecom,bss,pdu
du0023,sheladez1,krc161622/1,e555472769,telecom,bss,ru
du0023,sheladez1,krc161622/1,e555475179,telecom,bss,ru
du0023,sheladez1,krc161622/1,e555475182,telecom,bss,ru
du0023,sheladez1,bmg980336/2,x052957258,telecom,bss,pdu
du0023,sheladez1,86010148v01,csj1051755-xx,telecom,bss,ret
du0024,sarseng1,bml161184/1,bw99752512,telecom,bss,psu
du0024,sarseng1,kdu137569/1,d16s677273,telecom,bss,du
du0024,sarseng1,bmg980336/2,x052978746,telecom,bss,pdu
du0024,sarseng1,bml161184/1,br83478238,telecom,bss,psu
du0025,swaratoka,krc161260/1,c828057191,telecom,bss,ru
du0025,swaratoka,kdu137569/1,td3m428220,telecom,bss,du
du0025,swaratoka,kdu137569/1,tu8xk26841,telecom,bss,du
du0025,swaratoka,krc161260/1,c828057195,telecom,bss,ru
du0026,derabon1,kdu137569/1,tu8xbp6268,telecom,bss,du
du0027,xabur1,seb1121095/1,ab20120443,telecom,bss,bts
du0027,xabur1,boe60214/1,tu89760071,telecom,bss,du
du0027,xabur1,bml231202/1,tl93073811,telecom,bss,psu
du0027,xabur1,bml231202/1,bh52243266,telecom,bss,psu
du0028,zxo_abasik1,bmg980336/2,x052440314,telecom,bss,pdu
du0028,zxo_abasik1,kdu137569/1,tu8xk09926,telecom,bss,du
du0028,zxo_abasik1,86010148v01,csh1079184-xx,telecom,bss,ret
du0028,zxo_abasik1,86010148v01,csh1079659-xx,telecom,bss,ret
du0028,zxo_abasik1,86010148v01,csh1079706-xx,telecom,bss,ret
du0028,zxo_abasik1,tta-glg120h,as192400694,telecom,bss,tma
du0028,zxo_abasik1,tta-glg120h,as192400857,telecom,bss,tma
du0028,zxo_abasik1,tta-glg120h,as192500523,telecom,bss,tma
du0028,zxo_abasik1,krc161280/1,d16n337616,telecom,bss,ru
du0028,zxo_abasik1,krc161466/2,d16v513870,telecom,bss,ru
du0028,zxo_abasik1,krc161260/1,d16e964456,telecom,bss,ru
du0028,zxo_abasik1,krc161260/1,d16e964466,telecom,bss,ru
du0028,zxo_abasik1,krc161260/1,d16e964468,telecom,bss,ru
du0028,zxo_abasik1,krc161280/1,d16e537061,telecom,bss,ru
du0028,zxo_abasik1,krc161466/2,d16v674643,telecom,bss,ru
du0028,zxo_abasik1,krc161466/2,d16v674648,telecom,bss,ru
du0028,zxo_abasik1,bml161184/1,bw97337902,telecom,bss,psu
du0028,zxo_abasik1,bml161184/1,bw97345913,telecom,bss,psu
du0028,zxo_abasik1,302/bfm901292,d16f170848,telecom,bss,bts
du0028,zxo_abasik1,bml161174/1,bw93260825,telecom,bss,psu
du0028,zxo_abasik1,bmg980336/7,x053159259,telecom,bss,pdu
du0028,zxo_abasik1,bmg980336/2,x052440587,telecom,bss,pdu
du0028,zxo_abasik1,kdu137569/1,d16d286152,telecom,bss,du
du0028,zxo_abasik1,kdu137925/31,d16v577398,telecom,bss,baseband
du0028,zxo_abasik1,86010148v01,i0m0882148-xx,telecom,bss,ret
du0029,zxo_academi1,kdu137569/1,tu8xq82441,telecom,bss,du
du0029,zxo_academi1,kdu137848/11,e23b190998,telecom,bss,baseband
du0029,zxo_academi1,86010148v01,i0m0881967-xx,telecom,bss,ret
du0029,zxo_academi1,bmg980336/7,dx10262105,telecom,bss,pdu
du0029,zxo_academi1,86010148v01,i0m0881964-xx,telecom,bss,ret
du0029,zxo_academi1,krc161260/1,d16n286289,telecom,bss,ru
du0029,zxo_academi1,86010148v01,csi0912388-xx,telecom,bss,ret
du0029,zxo_academi1,86010148v01,csi0912076-xx,telecom,bss,ret
du0029,zxo_academi1,86010148v01,csi0912082-xx,telecom,bss,ret
du0029,zxo_academi1,tta-glg120h,as192400322,telecom,bss,tma
du0029,zxo_academi1,tta-glg120h,as192400717,telecom,bss,tma
du0029,zxo_academi1,tta-glg120h,as192500528,telecom,bss,tma
du0029,zxo_academi1,krc161260/1,d16n286307,telecom,bss,ru
du0029,zxo_academi1,krc161260/1,d16n286311,telecom,bss,ru
du0029,zxo_academi1,bml161184/1,bw99696463,telecom,bss,psu
du0029,zxo_academi1,bml161184/1,bw99695996,telecom,bss,psu
du0029,zxo_academi1,bml161184/1,bw99695998,telecom,bss,psu
du0029,zxo_academi1,bml161184/1,bw99696030,telecom,bss,psu
du0029,zxo_academi1,302/bfm901292,d16n908683,telecom,bss,bts
du0029,zxo_academi1,krc161622/1,tu8u003hrj,telecom,bss,ru
du0029,zxo_academi1,krc161622/1,tu8u003jhl,telecom,bss,ru
du0029,zxo_academi1,krc161622/1,tu8u003nae,telecom,bss,ru
